RA Dec W WERR J JERR H HERR AV SPT SPT_STR
277.393206 1.01497 18.950000762939453 0.05000000074505806 19.75 0.08 18.45 0.07 nan nan nan
277.380335 1.015045 18.979999542236328 0.03999999910593033 19.85 0.09 18.45 0.05 nan nan nan
277.437938 1.014995 18.389999389648438 0.03999999910593033 19.38 0.07 17.79 0.05 nan nan nan
277.411546 1.015398 19.0 0.05000000074505806 19.76 0.09 18.68 0.07 nan nan nan
277.427818 1.015215 18.56999969482422 0.03999999910593033 19.42 0.05 18.19 0.05 nan nan nan
277.369533 1.01523 18.84000015258789 0.029999999329447746 19.9 0.1 18.19 0.06 nan nan nan
277.377773 1.015203 18.149999618530273 0.029999999329447746 19.03 0.04 17.56 0.03 nan nan nan
277.365868 1.015028 17.5 0.009999999776482582 18.4 0.03 16.98 0.02 7.56 57.0 M0
277.407095 1.015354 18.5 0.029999999329447746 19.37 0.05 18.12 0.04 nan nan nan
277.364688 1.015424 18.68000030517578 0.03999999910593033 19.83 0.07 18.34 0.04 nan nan nan
277.36302 1.015206 17.889999389648438 0.019999999552965164 18.81 0.03 17.64 0.03 4.9 36.2 K2
277.550032 1.016019 19.399999618530273 0.09000000357627869 19.93 0.1 19.02 0.09 nan nan nan
277.394439 1.015292 17.790000915527344 0.019999999552965164 18.7 0.03 17.56 0.03 5.48 36.2 K2
277.391746 1.01537 17.6200008392334 0.019999999552965164 18.3 0.03 17.14 0.03 5.94 36.2 K2
277.378839 1.015903 18.8700008392334 0.03999999910593033 19.88 0.06 18.43 0.05 nan nan nan
277.35076 1.01558 17.40999984741211 0.009999999776482582 18.28 0.03 16.87 0.02 7.56 57.0 M0
277.377384 1.015875 19.190000534057617 0.03999999910593033 19.85 0.07 18.62 0.06 nan nan nan
277.365489 1.016024 19.329999923706055 0.05000000074505806 20.22 0.1 18.94 0.08 nan nan nan
277.509257 1.016106 18.979999542236328 0.05000000074505806 19.5 0.07 18.56 0.08 nan nan nan
277.368238 1.015938 18.459999084472656 0.029999999329447746 19.4 0.06 18.01 0.04 nan nan nan
277.425968 1.01592 18.010000228881836 0.019999999552965164 18.92 0.04 17.57 0.03 nan nan nan
277.511613 1.016033 18.229999542236328 0.03999999910593033 19.1 0.06 18.13 0.05 nan nan nan
277.390031 1.016145 18.8700008392334 0.07000000029802322 19.55 0.09 18.51 0.05 nan nan nan
277.379482 1.01613 19.010000228881836 0.05000000074505806 19.74 0.08 18.6 0.05 nan nan nan
277.43155 1.015557 17.84000015258789 0.019999999552965164 18.5 0.04 17.41 0.03 nan nan nan
277.349929 1.016298 19.229999542236328 0.03999999910593033 19.9 0.06 18.81 0.06 nan nan nan
277.398588 1.016079 18.729999542236328 0.03999999910593033 19.48 0.06 17.94 0.04 nan nan nan
277.353186 1.016034 17.440000534057617 0.009999999776482582 18.27 0.03 17.17 0.02 6.75 57.1 M1
277.558999 1.016348 19.0 0.05999999865889549 19.62 0.08 18.48 0.07 nan nan nan
277.421963 1.016277 18.100000381469727 0.019999999552965164 18.98 0.04 17.63 0.03 nan nan nan
277.433968 1.016495 18.90999984741211 0.05000000074505806 19.58 0.07 18.49 0.04 nan nan nan
277.406065 1.016424 19.110000610351562 0.05000000074505806 19.73 0.07 18.5 0.05 nan nan nan
277.538492 1.016454 18.260000228881836 0.03999999910593033 19.62 0.08 17.81 0.05 nan nan nan
277.399817 1.016402 18.290000915527344 0.029999999329447746 19.07 0.05 17.83 0.03 nan nan nan
277.444026 1.016579 18.6299991607666 0.05000000074505806 20.17 0.1 18.55 0.07 nan nan nan
277.401386 1.015192 16.190000534057617 0.0 16.99 0.01 15.73 0.01 6.82 36.2 K2
277.398406 1.016655 18.809999465942383 0.05000000074505806 19.95 0.08 18.92 0.07 nan nan nan
